Protein Group Name,Uniprot IDs,Representative Protein Description,Uniprot,env_0min vs. env_5min log2 fold change,env_0min vs. env_5min q-value,env_0min vs. env_5min significant,wt_0min vs. wt_5min log2 fold change,wt_0min vs. wt_5min q-value,wt_0min vs. wt_5min significant,wt_0min vs. wt_60min log2 fold change,wt_0min vs. wt_60min q-value,wt_0min vs. wt_60min significant,genome_0min vs. genome_60min log2 fold change,genome_0min vs. genome_60min q-value,genome_0min vs. genome_60min significant,wt_5min vs. env_5min log2 fold change,wt_5min vs. env_5min q-value,wt_5min vs. env_5min significant,wt_60min vs. genome_60min log2 fold change,wt_60min vs. genome_60min q-value,wt_60min vs. genome_60min significant,wt_0min vs. env_0min log2 fold change,wt_0min vs. env_0min q-value,wt_0min vs. env_0min significant,wt_0min vs. genome_0min log2 fold change,wt_0min vs. genome_0min q-value,wt_0min vs. genome_0min significant
PG256526,P31948|P31948-2,sp|P31948-2|STIP1_HUMAN Isoform 2 of Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1,P31948-2,-0.034245007563536586,0.709422340444491,False,-0.06789241299476513,0.301713167833609,False,0.060334885814398796,0.489411627461834,False,-0.11118748180665645,0.255055692921602,False,0.021854497808134622,0.998455589782439,False,-0.0703182898600788,0.577612254156598,False,-0.011792907623093938,0.793219899482646,False,0.10120407776097656,0.160540433128651,False
PG252799,P04406,sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3,P04406,0.09568686023508526,0.631934373630812,False,0.2265354786458117,0.0902145232192758,False,0.28236866376537584,0.138745083568787,False,0.03012729692013763,0.493088282418945,False,0.0,1.0,False,-0.0604350603993708,0.607165376198294,False,0.13084861841072634,0.583295260299181,False,0.19180630644586716,0.0692397344287832,False
PG252889,P38646,sp|P38646|GRP75_HUMAN Stress-70 protein; mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2,P38646,-0.11967878842228993,0.561925483148745,False,-0.24976320854342965,0.0880020855541253,False,-0.14289883521232968,0.24870234278802,False,-0.15682820795047006,0.215983113544017,False,0.03889955776180295,0.998455589782439,False,-0.17679764108579848,0.524330914422182,False,-0.09118486235933677,0.618759811944563,False,-0.162868268347658,0.095240000437554,False
PG247965,P53396,sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3,P53396,0.025180564759072294,0.726400165410701,False,-0.016430327098150833,0.488006874855464,False,0.020184288060072383,0.616432352489979,False,0.045056930809666815,0.425172230710888,False,0.054630482348369376,0.998455589782439,False,-0.020184288060072324,0.689542801345473,False,0.013019590491146036,0.791796545526228,False,-0.04505693080966663,0.26223159396555,False
PG252492,O75369-8,sp|O75369-8|FLNB_HUMAN Isoform 8 of Filamin-B OS=Homo sapiens GN=FLNB,O75369-8,0.03522772373354442,0.707921971629688,False,-0.0950178508462294,0.229199776905474,False,-0.12963976016501919,0.264082990055963,False,-0.09585279074244271,0.31252455054834,False,-0.05464814576295564,0.998455589782439,False,-0.02008390873438214,0.690816904769342,False,-0.1848937203427293,0.40224102416543,False,-0.053870878156958575,0.257704146647964,False
PG254266,P19338,sp|P19338|NUCL_HUMAN Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3,P19338,0.07042704480125801,0.675208302739235,False,0.5958390199810011,0.0421265007350875,True,0.27292362215554294,0.105155227611948,False,-0.08552853667589441,0.299360726018083,False,-0.18564067612233193,0.998455589782439,False,0.0102501832621632,0.711545082382767,False,0.3397712990574112,0.165727421052429,False,0.36870234209360053,0.0266983730021882,False
PG246081,O95347,sp|O95347|SMC2_HUMAN Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2,O95347,-0.037959589434048896,0.702361542675485,False,-0.03168482210222476,0.436923098613271,False,-0.10234730871451994,0.33278749229796,False,-0.03064510114237728,0.480478284018017,False,0.0058955766655831845,0.999220576730913,False,-0.07458921392382122,0.565444221112798,False,0.012170343997407365,0.792390814008362,False,-0.146291421495964,0.0813436737086454,False
PG255306,Q6P2Q9,sp|Q6P2Q9|PRP8_HUMAN Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2,Q6P2Q9,0.04653161271465311,0.707889452405238,False,-0.029061213267393516,0.464100411745529,False,-0.05010606088646619,0.550550691903694,False,0.024259751957092443,0.517975973344511,False,0.07776205847773812,0.998455589782439,False,0.09904049378347687,0.572000338343512,False,0.0021692324956915244,0.819305476925619,False,0.024674680939918415,0.332826075539855,False
PG246525,P55072,sp|P55072|TERA_HUMAN Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,P55072,0.03651561593955308,0.702948275675727,False,-0.06527404584722861,0.342960726324862,False,0.0,0.677910741975881,False,-0.056104009203226474,0.403055296406968,False,0.016235760235843246,0.998455589782439,False,-0.14304453320529806,0.524330914422182,False,-0.085553901550938,0.636633554324617,False,-0.08694052400207157,0.179967724506319,False
PG243481,P42704,sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein; mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3,P42704,-0.13168252890092774,0.521847140177398,False,-0.1987664298618527,0.103997468571777,False,-0.20306221402382643,0.178041770575297,False,0.018231113331035595,0.543964610031028,False,-0.03837269075038238,0.998455589782439,False,0.011061108912596679,0.709889710591877,False,-0.1054565917113074,0.583295260299181,False,-0.2102322184422655,0.0505145619521049,False
PG252205,P68104,sp|P68104|EF1A1_HUMAN Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1,P68104,0.11180313513232977,0.61314676759674,False,0.14575178145902237,0.177335372398896,False,0.09321394667363386,0.35422439161837,False,0.08553940648121536,0.286388316406412,False,-0.03842418144658889,0.998455589782439,False,-0.01573948817209807,0.702615743321655,False,-0.004475535119896344,0.813837995219383,False,-0.008064947979679805,0.388982189089094,False
PG251579,O60610|A0A0G2JH68,tr|A0A0G2JH68|A0A0G2JH68_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=1,A0A0G2JH68,-0.009449392359863307,0.747639307603248,False,-0.011125751950073497,0.503998903768784,False,-0.09190076742264104,0.414521334386425,False,0.010179596290523398,0.581119839756126,False,0.001676359590210251,0.999220576730913,False,0.06524121886973903,0.578411481317723,False,0.0,0.819305476925619,False,-0.03683914484342529,0.324196797896648,False
PG255006,P13796,sp|P13796|PLSL_HUMAN Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6,P13796,0.02444389124441681,0.729704106089973,False,-0.07226597435466257,0.310796927847109,False,0.04755653580765493,0.531876894764901,False,0.026729562003240295,0.533967237489343,False,0.02444389124441681,0.998455589782439,False,0.032254103326204174,0.664039346324374,False,-0.07226597435466257,0.649984321751329,False,0.05308107713061858,0.278674308084163,False
PG247812,P08670,sp|P08670|VIME_HUMAN Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,P08670,-0.011490017011045652,0.750704752051568,False,-0.03399970309282637,0.43019887795564,False,0.06771628464880675,0.489275529048174,False,0.06097628237031977,0.39014072387042,False,-0.0411414616200537,0.998455589782439,False,0.05876115408539292,0.620387466635849,False,-0.06365114770183453,0.681869629352699,False,0.06550115636387996,0.211178589246841,False
PG246314,P78371,sp|P78371|TCPB_HUMAN T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4,P78371,-0.03712535035192829,0.707921971629688,False,-0.026608365624179155,0.451268665564703,False,0.014654790935223113,0.646599911450086,False,-0.03429939644296536,0.490238665344517,False,-0.030894345428548603,0.998455589782439,False,-0.057769410904814834,0.613560342085652,False,-0.020377360700799405,0.769930219359167,False,-0.00881522352662635,0.389739727255976,False
PG251481,O43143,sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2,O43143,0.06349350315743493,0.671406503803896,False,-0.047833085158661436,0.425271041074513,False,-0.07357205040337018,0.513541677403094,False,0.04159964593537509,0.431867006083264,False,0.08897454677871519,0.998455589782439,False,0.1037087774162399,0.578411481317723,False,-0.02235204153738134,0.771714803540186,False,-0.011462918922505392,0.376437456019374,False
PG246234,P41252,sp|P41252|SYIC_HUMAN Isoleucine--tRNA ligase; cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2,P41252,-0.05085806999492359,0.675948242027937,False,-0.1542914116413622,0.138407464085196,False,-0.07674231253459768,0.399074419714619,False,-0.030799985262412167,0.501631660906313,False,-0.03748170150121551,0.998455589782439,False,0.008016056084893,0.714579250308475,False,-0.14091504314765413,0.508115439963815,False,-0.03792627118729253,0.293575387757187,False
PG254283,Q9Y266,sp|Q9Y266|NUDC_HUMAN Nuclear migration protein nudC OS=Homo sapiens GN=NUDC PE=1 SV=1,Q9Y266,-0.039788373442805475,0.698286290511804,False,-0.007353054012471819,0.516443626128262,False,0.06704173521544171,0.460305367799245,False,-0.061053491180339835,0.385022573847006,False,-0.07013442333626435,0.998455589782439,False,-0.015267194067593358,0.703974324959471,False,-0.03769910390593067,0.725363816253675,False,0.11282803232818825,0.140782759553803,False
PG253334,P20700,sp|P20700|LMNB1_HUMAN Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2,P20700,-0.05362349266066055,0.671406503803896,False,-0.06532029168921384,0.383470128418333,False,-0.01379478346304493,0.647104981627477,False,0.1314893161274013,0.2470915740291,False,0.08117782244641095,0.998455589782439,False,0.17167621923822166,0.526666500763883,False,0.06948102341785757,0.656591715732567,False,0.026392119647775204,0.348757869947124,False
PG259085,A0A0A0MTR7,tr|A0A0A0MTR7|A0A0A0MTR7_HUMAN E3 ubiquitin-protein ligase RNF213 OS=Homo sapiens GN=RNF213 PE=1 SV=1,A0A0A0MTR7,-0.027587779067120434,0.733325261723264,False,0.012874296113980695,0.497634333999089,False,-0.08780113089920236,0.397458357612475,False,-0.017069313060720605,0.560136107548406,False,-0.046464065348047166,0.998455589782439,False,0.13346849743200193,0.524330914422182,False,-0.006001990166945998,0.806117420388613,False,0.0627366795935201,0.22229032303903,False
PG245913,Q9NTJ3,sp|Q9NTJ3|SMC4_HUMAN Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2,Q9NTJ3,-0.0011133846132693297,0.764766920654055,False,0.029651572782348,0.443092076143561,False,0.046111317183405394,0.520788410657668,False,-0.00246212877455276,0.614699830044263,False,-0.01783193995765672,0.998455589782439,False,-0.011158338438842123,0.709092397402472,False,0.012933017437960496,0.791796545526228,False,0.037415107519116,0.295444646193615,False
PG246778,P11388|P11388-2|P11388-3|P11388-4,sp|P11388-4|TOP2A_HUMAN Isoform 4 of DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A,P11388-4,0.04884573117813032,0.725634771181476,False,-0.0474031387822907,0.468001855095072,False,0.01878824640608456,0.65655588624095,False,0.0682022287708625,0.456650653215028,False,0.20434749193884202,0.998455589782439,False,0.2843549991898302,0.55787538596371,False,0.10809862197842084,0.772631155585325,False,0.23494101682505192,0.102258696778311,False
PG253927,P26038,sp|P26038|MOES_HUMAN Moesin OS=Homo sapiens GN=MSN PE=1 SV=3,P26038,0.027066879422785694,0.727292481894086,False,0.0851097513653412,0.253959238193266,False,0.11755362612531922,0.312894657738677,False,-0.014616858539306735,0.567613758117599,False,0.06837408513561125,0.998455589782439,False,-0.017452510631922574,0.697648105557573,False,0.12641695707816664,0.566597642067805,False,0.11471797403270331,0.137387213642138,False
PG246627,Q9Y490,sp|Q9Y490|TLN1_HUMAN Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3,Q9Y490,0.08073072073822658,0.631934373630812,False,0.13750919416937896,0.191919314308855,False,0.06397623986938582,0.445209507794917,False,0.12839588106343275,0.196945657289428,False,-0.048284337668952654,0.998455589782439,False,0.08072336148846196,0.556775759805706,False,0.008494135762199753,0.802195578783047,False,0.01630372029441509,0.359474043771797,False
PG249347,P11586,sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase; cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3,P11586,-0.09391369929478796,0.619792227965455,False,-0.12012030207327194,0.217490124013568,False,-0.0958979185475655,0.370362732641702,False,0.012097479537797625,0.577987279643096,False,-0.005323983269458701,0.999220576730913,False,-0.02220008966041156,0.688334660009116,False,-0.03153058604794279,0.741464749248851,False,-0.13019548774577464,0.122020854274976,False
PG246398,P50990,sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4,P50990,-0.01119016096060774,0.747639307603248,False,-0.08678889019511733,0.268523347039982,False,0.03317600610600463,0.56782908179894,False,-0.06353882322700051,0.379237893662905,False,-0.015167770270077471,0.998455589782439,False,-0.0775408079890542,0.561394020927786,False,-0.09076649950458722,0.616160363496561,False,0.019174021343950996,0.356987133621211,False
PG251623,Q08211,sp|Q08211|DHX9_HUMAN ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4,Q08211,0.011571418287501776,0.747639307603248,False,-0.07546589764879448,0.304088606986094,False,-0.15271602426938044,0.273094149356365,False,0.02844787435696868,0.514275797517651,False,0.04710486893094682,0.998455589782439,False,0.12342258791667082,0.535066950624773,False,-0.03993244700534953,0.725363816253675,False,-0.057741310709678216,0.238473027827448,False
PG251093,P14625,sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,P14625,-0.05987772715908557,0.667484107539761,False,-0.15238585597760798,0.154227501963927,False,-0.11665712574571478,0.304328597357235,False,-0.09648978102784427,0.257304347834545,False,-0.04835426440221126,0.998455589782439,False,-0.19226824557765185,0.524330914422182,False,-0.14086239322073363,0.512424145667763,False,-0.2124355902955224,0.0522605584040685,False
PG254341,Q14980|Q14980-2,sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2,Q14980,0.05745226292322351,0.671406503803896,False,0.049171527157593875,0.380765734805068,False,0.03727719870553395,0.578310715376661,False,0.023466958082842358,0.522622764049155,False,0.011560106432535909,0.998455589782439,False,0.03517096603334787,0.65859485525521,False,0.0032793706669065037,0.81927708676777,False,0.04898120665603925,0.265156665078778,False
PG245923,Q7KZF4,sp|Q7KZF4|SND1_HUMAN Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1,Q7KZF4,-0.01868176607517324,0.742511518053132,False,0.2351509158393527,0.098827568066567,False,0.10290113762742532,0.324605573912392,False,-0.030054808266966788,0.489473275505445,False,-0.0054439966329628406,0.999220576730913,False,-0.09955207914349443,0.535066950624773,False,0.24838868528156283,0.307675656591958,False,0.033403866750897585,0.298811370906414,False
PG253706,Q9NU22,sp|Q9NU22|MDN1_HUMAN Midasin OS=Homo sapiens GN=MDN1 PE=1 SV=2,Q9NU22,0.6323858541165575,0.0993466664672749,True,0.6588229388898849,0.0087317468605553,True,-0.025955399902975868,0.61666265780794,False,0.00649070111924185,0.597219693313228,False,0.050874443612346824,0.998455589782439,False,0.15310618016491204,0.531778048320098,False,0.07731152838567402,0.691039874298799,False,0.12066007914269458,0.114832326574809,False
PG250596,A5YKK6,sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,A5YKK6,-0.006620602442537789,0.753699680226065,False,-0.03445359961580806,0.432569231474562,False,-0.07386828994887071,0.414619083066691,False,-0.03090424460026369,0.490342039976757,False,-0.04025897232592592,0.998455589782439,False,-0.03090424460026369,0.66347574288188,False,-0.0680919694991962,0.668169820819677,False,-0.07386828994887071,0.186710617222489,False
PG251604,Q16531,sp|Q16531|DDB1_HUMAN DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1,Q16531,-0.012530706883528931,0.750704752051568,False,0.06203893451362993,0.337480626814526,False,-0.03425180264826417,0.585839986727069,False,-0.05173118676729034,0.411337989493978,False,-0.03470687659085122,0.998455589782439,False,0.010699998695540657,0.711524854054536,False,0.03986276480630762,0.737269791363706,False,0.028179382814566983,0.324983068804119,False
PG246346,P17987,sp|P17987|TCPA_HUMAN T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1,P17987,0.007796079891954181,0.75207104053097,False,0.030106095440468897,0.455409407876185,False,-0.07618801282979089,0.425850203809566,False,-0.04505722504267666,0.422210000931606,False,-0.020067954176672263,0.998455589782439,False,-0.028344316836775237,0.679136259893998,False,0.0022420613718425967,0.818914351987927,False,-0.059475104623889524,0.21499512742911,False
PG244907,P08575|P08575-2|A0A0A0MT22|X6R433,tr|A0A0A0MT22|A0A0A0MT22_HUMAN Protein tyrosine phosphatase; receptor type; C; isoform CRA_d OS=Homo sapiens GN=PTPRC PE=1 SV=1,A0A0A0MT22,-0.05082984643106367,0.671406503803896,False,0.06744862145977246,0.314111686276065,False,0.22304672610313567,0.148070136401002,False,-0.0764123894066178,0.350914718620447,False,0.02540772856861826,0.998455589782439,False,-0.04180094387691042,0.635262354092605,False,0.1436861964594544,0.498618379468785,False,0.25765817163284316,0.0456375778263564,False
PG247900,P13010,sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3,P13010,0.019318718042612076,0.741335975385219,False,-0.11067887591117323,0.21023415614174,False,0.03717542839848679,0.595075068421403,False,0.06039234777771993,0.365712152093791,False,-0.0049679358116663285,0.999220576730913,False,-0.05017300294267867,0.646678570634529,False,-0.13496552976545176,0.560254244541595,False,-0.07338992232191198,0.17968988157738,False
PG244844,P31939,sp|P31939|PUR9_HUMAN Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3,P31939,0.05539158754700898,0.671406503803896,False,0.024615397020788247,0.456653954368089,False,-0.01033620709424107,0.650367738048056,False,0.062340134256106856,0.374374826079497,False,0.0027259612192953673,0.999220576730913,False,0.036747541244047145,0.641937675298157,False,-0.028050229306925432,0.749334666404816,False,-0.035928800106300694,0.293327894320904,False
PG242308,P34932,sp|P34932|HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4,P34932,0.05902269070357459,0.667484107539761,False,0.022343819150593507,0.477061286381795,False,-0.009306495238625579,0.653107936179381,False,0.052791711290587844,0.390156840611077,False,-0.024488439253819244,0.998455589782439,False,0.04208137073909143,0.631753060500947,False,-0.06116731080680035,0.678703657345418,False,-0.020016835790121774,0.349249872826964,False
PG245337,Q9P258,sp|Q9P258|RCC2_HUMAN Protein RCC2 OS=Homo sapiens GN=RCC2 PE=1 SV=2,Q9P258,-0.009846431358276123,0.750228886970448,False,0.44298369242072205,0.0451283190669753,False,0.11104730897604122,0.309446858049444,False,-0.031529605725500086,0.480360302546771,False,0.0322158099648634,0.998455589782439,False,0.022448719495403033,0.684998436856806,False,0.48504593374386146,0.0686590547478853,False,0.16502563419694455,0.0713617512695158,False
PG244223,Q9BZE4,sp|Q9BZE4|NOG1_HUMAN Nucleolar GTP-binding protein 1 OS=Homo sapiens GN=GTPBP4 PE=1 SV=3,Q9BZE4,0.11459627227624966,0.649581427986061,False,0.12451604089250562,0.288407566611037,False,0.2115279439663452,0.263067666058351,False,-0.006847009881759488,0.607807118984666,False,0.04926349081070584,0.998455589782439,False,0.11258866883381781,0.566227286498183,False,0.0591832594269615,0.752437384705769,False,0.3309636226819224,0.0423817559654911,False
PG246589,P48643,sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1,P48643,-0.051787927837367555,0.675623782196948,False,-0.02284946990885953,0.469502970902822,False,0.008411309848208842,0.656127841625088,False,-0.08161242299596463,0.35794661656989,False,-0.07436253473302895,0.998455589782439,False,-0.0853974455559362,0.561394020927786,False,-0.04542407680452091,0.705845368973221,False,0.004626287288237384,0.403264901960549,False
PG256437,P07814,sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5,P07814,0.02758422658866813,0.725352091588261,False,-0.07726015027715388,0.277346857466267,False,-0.05430916885876896,0.488361400199632,False,0.05290238671825211,0.405878457315502,False,0.0124412386620705,0.998455589782439,False,0.04787720548832876,0.627117442486783,False,-0.09240313820375175,0.599094580983805,False,-0.059334350088692284,0.215650078600014,False
PG254610,P07237,sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3,P07237,-0.1048585733422499,0.593490828608276,False,-0.200554704886458,0.103471829426726,False,-0.1501589070579238,0.279897669568659,False,-0.08104048042855469,0.339874946204622,False,-0.006930841277260654,0.999220576730913,False,-0.12253880613866029,0.537205389759335,False,-0.10262697282146876,0.595703209516546,False,-0.19165723276802937,0.0653397404199784,False
PG253672,P25205|P25205-2,sp|P25205-2|MCM3_HUMAN Isoform 2 of DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3,P25205-2,-0.04992628150207205,0.671406503803896,False,-0.040887702389326416,0.402436052149305,False,0.10023183773885422,0.329533609098937,False,-0.06509837342177546,0.363614828348642,False,-0.004720494193883368,0.999220576730913,False,-0.08281500322026523,0.555845796727506,False,0.0043180849188622136,0.814141102082785,False,0.08251520794036436,0.170743605686176,False
PG245251,Q92900|Q92900-2,sp|Q92900|RENT1_HUMAN Regulator of nonsense transcripts 1 OS=Homo sapiens GN=UPF1 PE=1 SV=2,Q92900,-0.03263628479768775,0.708962763405102,False,-0.034653187282753836,0.442002602958552,False,-0.06823324613060378,0.45212541647275,False,-0.03555881463579539,0.467309973172331,False,-0.043858408174750126,0.998455589782439,False,-0.07239243364223238,0.574551585946273,False,-0.04587531065981612,0.716604662073118,False,-0.10506686513704079,0.139509162316095,False
PG246232,Q9NSD9,sp|Q9NSD9|SYFB_HUMAN Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens GN=FARSB PE=1 SV=3,Q9NSD9,-0.045542029690683064,0.688598500088669,False,-0.01458895540086683,0.492785312040301,False,-0.028137176303081903,0.594057964967266,False,-0.05857783147276516,0.395422951965503,False,-0.025625431438460834,0.998455589782439,False,-0.04710756037363206,0.635262354092605,False,0.005327642851355275,0.813837995219383,False,-0.016666905203948743,0.358598097136067,False
